计数,内容
1,"《春帖子词·皇帝阁六首·其二》
愿如风有信，长与日俱中"
1,"《慈湖夹阻风五首》
且并水村欹侧过，人间何处不巉岩"
1,"《答李端叔书》
譬之候虫时鸟，自鸣自已，何足为损益"
1,"《东坡八首》
马正卿哀余乏食，为于郡中请故营地数十亩，使得躬耕"
1,"《东坡羹颂》
东坡羹，盖东坡居士所煮菜羹也"
1,"《书摩诘〈蓝田烟雨图〉》
味摩诘之诗，诗中有画；观摩诘之画，画中有诗"
1,"《东坡志林·口目相语》
子瞻患赤目，或言不可食脍。子瞻欲听之，而口不可"
1,"《二月十九日携白酒鲈鱼过詹使君……》
醉饱高眠真事业，此生有味在三余"
1,"《杭州乞度牒开西湖状》
杭州之有西湖，如人之有眉目，盖不可废也"
1,"《和子由苦寒见寄》
吾从天下士, 莫如与子欢"
1,"《记海南作墨》
墨灶火大发，几焚屋，救灭，遂罢作墨"
1,"《寄吴德仁兼简陈季常》
忽闻河东狮子吼，拄杖落手心茫然"
1,"《减字木兰花·得书》
欲卷重开，读遍千回与万回"
1,"《谏买浙灯状》
臣伏见中使传宣，下府市司买浙灯四千余盏"
1,"《江瑶柱传》
方其为席上之珍，风味蔼然，虽龙肝凤髓，有不及者"
1,"《快哉此风赋》
野马相吹，抟羽毛於汗漫，应龙作处，作鳞甲以参差"
1,"《礼以养人为本论》
凡人情之所安而有节者，举皆礼也"
1,"《留别廉守》
小饼如嚼月，中有酥与饴"
1,"《眉州远景楼记》
嗟夫，轼之去乡久矣"
1,"《蜜酒歌》
世间万事真悠悠，蜜蜂大胜监河侯"
1,"《墨君堂记》
风雪凌厉，以观其操；崖石荦确，以致其节"
1,"《菩萨蛮·回文》
落花闲院春衫薄，薄衫春院闲花落"
1,"《菩萨蛮·回文夏闺怨》
柳庭风静人眠昼，昼眠人静风庭柳"
1,"《却鼠刀铭》
野人有刀，不爱遗余"
1,"《日喻》
生而眇者不识日，问之有目者"
1,"《如梦令·春思》
居士，居士，莫忘小桥流水"
1,"《三槐堂铭》
天可必乎？贤者不必贵，仁者不必寿"
1,"《书临皋亭》
若有思而无所思，以受万物之备，惭愧！惭愧！"
1,"《书刘庭式事》
哀生于爱，爱生于色。今君爱何从生，哀何从出乎？"
1,"《四月十一日初食荔枝》
我生涉世本为口，一官久已轻莼鲈"
1,"《送参寥师》
新诗如玉屑，出语便清警"
